Year,AcuraMDX,AudiQ5,BmwX5,BmwX6,CadillacESCALADE,InfinitiQX60,LandroverRANGEROVER,LexusRX350,LexusLX570,LincolnMKX,MercedesbenzGLECLASS,PorscheCAYENNE,VolvoXC90
2016,34564,32570,41158,47946,56606,33753,72401,39108,76491,29441,44529,53721,38934
2017,28910,26297,32371,38587,46717,27691,60287,32075,64878,23740,36119,42612,31447
2018,25634,22309,27156,33013,40767,24177,51974,28050,57564,20463,31413,36729,27042
2019,22752,18800,22700,28107,35529,21085,44657,24505,51128,17577,27274,31550,23166
2020,20198,15690,18902,23758,30888,18344,38168,21365,45424,15020,23604,26961,19730
2021,17905,12899,15661,19855,26723,15884,32346,18547,40305,12725,20311,22843,16646
