Year,AcuraMDX,AudiQ5,BmwX5,BmwX6,CadillacESCALADE,InfinitiQX60,LandroverRANGEROVER,LexusRX350,LexusLX570,LincolnMKX,MercedesbenzGLECLASS,PorscheCAYENNE,VolvoXC90
2018,44372,48366,64800,73101,79604,44840,101927,50003,89549,41087,58835,71043,54730
2019,39487,39864,52740,60993,62579,38376,82539,41112,69795,31573,47622,59518,42702
2020,35532,35330,45439,53547,55416,34208,73858,36677,61390,27840,42040,51869,37737
2021,31616,31338,39015,46996,49111,30542,66213,32772,53994,24556,37127,45136,33368
2022,28142,27800,33318,41189,43522,27293,59438,29311,47441,21646,32773,39168,29497
2023,25025,24625,28205,35981,38508,24376,53360,26207,41558,19034,28865,33811,26021
