Year,AcuraMDX,AudiQ5,BmwX5,BmwX6,CadillacESCALADE,InfinitiQX60,LandroverRANGEROVER,LexusRX350,LexusLX570,LincolnMKX,MercedesbenzGLECLASS,PorscheCAYENNE,VolvoXC90
2017,43437,43796,61988,67906,71247,42666,91334,45956,92145,37941,55116,69289,49590
2018,37521,37540,50859,58289,58470,36611,77915,40947,77843,28922,45253,58247,40089
2019,33378,33364,43767,51163,51824,32750,69688,36555,69765,25608,39912,51168,35410
2020,29732,29691,37528,44892,45977,29352,62447,32689,61789,22692,35208,44939,31292
2021,26499,26435,31995,39335,40794,26341,56033,29263,54718,20107,31042,39415,27643
2022,23598,23513,27031,34348,36142,23638,50276,26187,48371,17788,27302,34460,24366
