Year,AcuraMDX,AudiQ5,BmwX5,BmwX6,CadillacESCALADE,InfinitiQX60,LandroverRANGEROVER,LexusRX350,LexusLX570,LincolnMKX,MercedesbenzMCLASS,PorscheCAYENNE,VolvoXC90
2014,26142,23266,31783,34284,36171,28318,52327,26720,53579,22712,31090,43477,25717
2015,20566,18007,24066,25795,28868,22103,42006,21050,44371,17071,23186,32931,19582
2016,17771,15097,19783,21503,24947,19097,35811,18371,39285,14341,19445,28276,16660
2017,15311,12611,16123,17836,21496,16452,30358,16014,34808,12009,16249,24181,14087
2018,13131,10493,13004,14709,18437,14108,25525,13924,30843,10022,13525,20550,11808
2019,11175,8685,10342,12041,15693,12004,21187,12049,27282,8326,11201,17293,9762
