Year,AcuraMDX,AudiQ5,BmwX5,BmwX6,CadillacESCALADE,InfinitiQX60,LandroverRANGEROVER,LexusRX350,LexusLX570,LincolnMKX,MercedesbenzMCLASS,PorscheCAYENNE
2015,31267,28339,36523,45522,49692,31982,60080,31822,58384,26853,33351,79194
2016,25025,22756,28272,35168,40962,25940,49230,25484,48693,21233,26020,61830
2017,21924,19541,23672,29971,35956,22600,42362,22233,43106,18404,22508,53094
2018,19195,16711,19742,25397,31551,19662,36317,19370,38189,15915,19419,45408
2019,16777,14203,16394,21343,27649,17057,30961,16834,33834,13708,16681,38595
2020,14605,11953,13536,17705,24147,14719,26154,14557,29923,11729,14223,32482
